City/area,Microterritorial Unit,Category,Sub-category,Indicator,Year,Value,Unit,Comments,Source,DOI,URL
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1800,1.15,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1801,1.16,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1802,1.17,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1803,1.18,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1804,1.19,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1805,1.2,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1806,1.21,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1807,1.22,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1808,1.23,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1809,1.24,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1810,1.25,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1811,1.26,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1812,1.27,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1813,1.28,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1814,1.29,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1815,1.3,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1816,1.31,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1817,1.32,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1818,1.33,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1819,1.34,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1820,1.35,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1821,1.36,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1822,1.37,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
Vienna,,Energy,energy consumption, Energy use by energy type -  Food  ,1823,1.38,PJ/y,,A City and Its Hinterland: Vienna's Energy Metabolism 1800-2006,10.1007/978-94-007-1177-8_11,https://archive.metabolismofcities.org/publication/191
